2023,3,12,10,10
2023,3,16,3.18,13.18
2023,3,16,7.88,21.06
2023,3,21,2.57,23.63
2023,3,23,-0.95,22.68
2023,3,24,8.43,31.11
2023,3,24,1.05,32.16
2023,3,27,3.81,35.97
2023,4,6,-0,35.97
2023,4,16,4.82,40.79
2023,4,19,-4.37,36.42
2023,3,12,10,10
2023,3,13,0.09,10.09
2023,3,23,2.02,12.11
2023,3,28,1.25,13.36
2023,4,5,-7.3,6.06
2023,4,8,-2.71,3.35
2023,4,13,3.95,7.3
2023,4,22,9.57,16.87
2023,4,30,-8.16,8.71
2023,5,3,-6.14,2.57
2023,5,13,-2.29,0.28
2023,3,12,10,10
2023,3,15,2.02,12.02
2023,3,15,-0.87,11.15
2023,3,15,4.74,15.89
2023,3,18,-2.26,13.63
2023,3,28,7.34,20.97
2023,3,31,0.72,21.69
2023,4,5,9.04,30.73
2023,4,8,5.17,35.9
2023,4,8,-0.68,35.22
2023,4,17,-8.93,26.29
2023,3,12,10,10
2023,3,22,5.61,15.61
2023,3,23,-7.23,8.38
2023,3,25,-6.82,1.56
2023,3,28,5.9,7.46
2023,4,2,-5.4,2.06
2023,4,10,7.36,9.42
2023,4,17,-0.96,8.46
2023,4,24,4.23,12.69
2023,4,26,-6.98,5.71
2023,5,6,-4.89,0.82
2023,3,12,10,10
2023,3,19,1.66,11.66
2023,3,22,9.6,21.26
2023,4,1,-8.8,12.46
2023,4,2,2.86,15.32
2023,4,9,-6.69,8.63
2023,4,9,4.21,12.84
2023,4,18,4.81,17.65
2023,4,22,-7.28,10.37
2023,4,27,-8.4,1.97
2023,5,4,1.76,3.73
2023,3,12,10,10
2023,3,16,6.39,16.39
2023,3,25,7.39,23.78
2023,3,29,-7.2,16.58
2023,3,30,9.66,26.24
2023,4,4,-4.97,21.27
2023,4,12,2.86,24.13
2023,4,16,1.83,25.96
2023,4,24,-9.69,16.27
2023,5,1,1.39,17.66
2023,5,6,-0.05,17.61
